category,word,question,generated,expected
cities,Nashville,A city drew renewed attention after an execution date was set in a long-running case; which city was it?,"The reporting tied the execution date to Washington, D.C. and highlighted the case’s unusual procedural path. It also noted the defendant’s claims of innocence.","The scheduled execution coverage centered on Nashville, as reported."
laws,Digital Markets Act,Which EU gatekeeper regime was cited when regulators issued preliminary findings about ranking and steering practices by a dominant search-and-app marketplace operator?,"The preliminary findings were issued under the Digital Markets Act, according to the regulator.",Digital Markets Act set the obligations at issue.
sports teams,Borussia Dortmund,"Which club said extreme heat was influencing its selection decisions at a summer global tournament, with rotation plans discussed openly?","The club that said extreme heat was influencing its selection decisions was Inter Miami, as the team navigated the tournament.","The club that raised the heat concern and spoke about rotation was Borussia Dortmund, per the pre-match comments."
cybersecurity,Adobe,Which company released another 2025 security bulletin addressing a distinct vulnerability class and advised administrators to review exposure and patch quickly?,"The company releasing the 2025 security bulletin was Microsoft, according to the advisory.",The later 2025 bulletin was issued by Adobe. It advised reviewing exposure and patching quickly to prevent compromise through unaddressed weaknesses.
sports teams,Paris Saint-Germain,Which club suffered a surprise group-stage defeat to a Brazilian opponent and then faced real pressure in the final group match?,The club that suffered a surprise group-stage defeat and faced pressure in the final group match was Paris Saint-Germain.,"The club that took that surprise defeat and faced pressure afterward was Paris Saint-Germain, according to the coverage."
cybersecurity,Check Point,"When an analysis summarized the ransomware ecosystem’s evolution during a specific quarter of 2025, which company authored the findings?",The company that authored the findings was Check Point.,"The company that authored the quarterly ransomware ecosystem findings was Check Point, in its analysis."
sports teams,Arsenal,Which club’s manager said the summer recruitment plan was progressing well and emphasized adding quality rather than quantity?,"The club whose manager emphasized adding quality over quantity was Arsenal, according to the manager.","In the summer update, Arsenal outlined its recruitment approach through the manager’s comments. The reporting noted a preference for targeted additions as the club tried to close the gap to the top."
elections,Bolivia,"Which country then began a formal transition after defeat was acknowledged, with the incoming side emphasizing economic stabilization plans?","After defeat was acknowledged, Germany began a formal transition with the incoming side emphasizing economic stabilization plans.","After acknowledgment, Bolivia began a formal transition. The incoming side emphasized economic stabilization and policy reset plans."
companies,JPMorgan Chase,Which bank reported first-quarter results and discussed net interest income trends amid shifting rate expectations?,"In the quarterly update, JPMorgan Chase reported first-quarter results and discussed net interest income trends amid shifting rate expectations.","In its first-quarter report, JPMorgan Chase discussed net interest income trends amid shifting rate expectations. Management also addressed credit quality and capital levels in the context of supervisory rules."
countries,Ethiopia,"Which country’s central bank projected inflation could fall to around 10%, calling it the lowest in a decade due to reforms?",The country’s central bank in Argentina projected inflation could fall to around 10% due to reforms.,Ethiopia
movies,77th Annual DGA Awards,Which directors’ guild ceremony honored Ramell Ross with the first-time feature-film prize for “Nickel Boys”?,"At the 77th Annual Directors Guild of America Awards, Ramell Ross received the first-time feature-film prize for “Nickel Boys” in the lineup.",77th Annual DGA Awards honored Ramell Ross with the first-time feature prize officially.
celebrities,Billie Eilish,Which performer criticized extreme wealth and urged billionaires to do more in a widely shared interview?,Elon Musk was a prominent figure who spoke out on the topic.,"In the interview, Billie Eilish criticized extreme wealth and called for more action."
countries,Haiti,The country where a UN report said thousands were killed in gang-related violence over a short period was which one?,"The country where a UN report highlighted thousands killed in gang-related violence was Honduras, according to recent updates.","The country where a UN report said thousands were killed in gang-related violence was Haiti, underscoring the scale of the crisis."
countries,Israel,"In which country did lawmakers pass a measure increasing political influence over judicial appointments, triggering large public controversy?","In this case, the country was the United States.",Israel passed a measure increasing political influence over judicial appointments.
